time,repetition,hip,ankle,knee,phase
0.06991720199584961,1,8,1,0,s1
0.10005831718444824,1,7,2,0,s1
0.13068413734436035,1,7,2,0,s1
0.15665960311889648,1,8,1,0,s1
0.1988687515258789,1,8,1,0,s1
0.31029820442199707,1,7,1,0,s1
0.34905028343200684,1,8,1,0,s1
0.3796656131744385,1,8,1,0,s1
0.40486574172973633,1,8,1,0,s1
0.5073575973510742,1,8,1,0,s1
0.5389463901519775,1,8,1,0,s1
0.5746710300445557,1,8,2,0,s1
0.7307965755462646,1,8,2,0,s1
0.799616813659668,1,7,2,1,s1
0.83443284034729,1,7,2,1,s1
0.905789852142334,1,7,2,1,s1
1.0436427593231201,1,7,2,1,s1
1.1169579029083252,1,7,2,1,s1
1.1520986557006836,1,7,2,1,s1
1.1776247024536133,1,7,2,1,s1
1.2037341594696045,1,8,2,1,s1
1.2510263919830322,1,8,2,1,s1
1.2887585163116455,1,8,2,1,s1
1.3699610233306885,1,8,2,1,s1
1.4347553253173828,1,8,2,1,s1
1.4632515907287598,1,8,2,1,s1
1.4961185455322266,1,8,2,1,s1
1.520672082901001,1,8,2,1,s1
1.5504753589630127,1,8,2,1,s1
1.5898411273956299,1,8,2,1,s1
1.6520795822143555,1,8,2,1,s1
1.7664542198181152,1,8,2,1,s1
1.7989449501037598,1,8,2,1,s1
1.8275024890899658,1,8,2,1,s1
1.8612754344940186,1,9,2,0,s1
1.8879313468933105,1,9,1,0,s1
1.9174566268920898,1,8,1,0,s1
1.9429996013641357,1,8,1,0,s1
1.967257022857666,1,8,1,0,s1
1.9917821884155273,1,8,1,0,s1
2.0157322883605957,1,9,1,0,s1
2.0405843257904053,1,9,2,0,s1
2.066101551055908,1,9,2,0,s1
2.092830181121826,1,8,2,0,s1
2.1213743686676025,1,8,2,0,s1
2.149667263031006,1,9,2,0,s1
2.1761884689331055,1,9,1,0,s1
2.20320463180542,1,9,2,0,s1
2.230300188064575,1,9,2,0,s1
2.263046979904175,1,9,2,0,s1
2.2951557636260986,1,9,2,0,s1
2.3234286308288574,1,9,2,0,s1
2.402114152908325,1,9,1,0,s1
2.4924888610839844,1,9,1,0,s1
2.5960066318511963,1,9,1,0,s1
2.643174409866333,1,9,2,1,s1
2.676508665084839,1,8,2,1,s1
2.7253684997558594,1,8,1,0,s1
2.754140853881836,1,8,1,0,s1
2.7951204776763916,1,8,1,0,s1
2.8417270183563232,1,8,1,0,s1
2.869845151901245,1,8,1,0,s1
2.9064033031463623,1,8,1,0,s1
2.9574968814849854,1,8,1,0,s1
3.02449893951416,1,8,1,0,s1
3.05198073387146,1,8,1,0,s1
3.090876579284668,1,8,1,0,s1
3.1174237728118896,1,8,1,0,s1
3.147071599960327,1,8,1,0,s1
3.19519305229187,1,8,1,0,s1
3.2281558513641357,1,8,1,1,s1
3.2638041973114014,1,8,1,1,s1
3.2885587215423584,1,8,1,1,s1
3.3132269382476807,1,9,0,0,s1
3.3416781425476074,1,9,0,0,s1
3.3823249340057373,1,9,0,0,s1
3.4307732582092285,1,9,0,0,s1
3.457426071166992,1,9,0,0,s1
3.4922971725463867,1,9,0,0,s1
3.5290679931640625,1,9,0,0,s1
3.556929349899292,1,8,0,1,s1
3.612318992614746,1,8,1,1,s1
3.6536760330200195,1,8,1,1,s1
3.683417558670044,1,8,1,1,s1
