time,repetition,hip,ankle,knee,phase
0.1264967918395996,1,73,17,7,s1
0.1651911735534668,1,57,1,12,s1
0.2197411060333252,1,48,0,14,s1
0.2527625560760498,1,44,0,16,s1
0.2797110080718994,1,37,0,21,s1
0.30994582176208496,1,33,4,16,s1
0.375640869140625,1,30,0,15,s1
0.45790791511535645,1,30,3,17,s1
0.5554025173187256,1,23,4,14,s1
0.5840144157409668,1,20,14,22,s1
0.6129107475280762,1,14,13,12,s1
0.6719508171081543,1,14,4,0,s1
0.7455029487609863,1,10,7,6,s1
0.8306140899658203,1,7,7,16,s1
0.8980412483215332,1,2,8,9,s1
0.9369745254516602,1,0,0,7,s1
0.96274733543396,1,0,0,6,s1
0.9927656650543213,1,1,2,0,s1
1.0191998481750488,1,2,6,0,s1
1.055586576461792,1,3,23,1,s1
1.138761281967163,1,2,11,5,s1
1.2166404724121094,1,2,10,8,s1
1.3146555423736572,1,1,1,11,s1
1.4458622932434082,1,0,1,12,s1
1.5343124866485596,1,2,3,18,s1
1.578131914138794,1,1,16,18,s1
1.6075654029846191,1,0,40,1,s1
1.6356306076049805,1,0,37,4,s1
1.6867680549621582,1,0,37,6,s1
1.716482400894165,1,0,28,6,s1
1.788158893585205,1,0,17,6,s1
1.8519046306610107,1,2,0,13,s1
1.879420280456543,1,3,2,17,s1
1.923149585723877,1,5,4,13,s1
1.995987892150879,1,10,0,7,s1
2.050966262817383,1,10,2,7,s1
2.075191020965576,1,1,22,5,s1
2.103372812271118,1,1,17,4,s1
2.1449697017669678,1,2,19,0,s1
2.239757537841797,1,4,23,10,s1
2.3268325328826904,1,7,19,25,s1
2.3955495357513428,1,4,3,2,s1
2.4669885635375977,1,1,8,6,s1
2.5740292072296143,1,0,9,9,s1
2.6333839893341064,1,0,16,17,s1
2.6679790019989014,1,1,35,1,s1
2.6939785480499268,1,1,25,0,s1
2.7646467685699463,1,2,9,14,s1
2.820373773574829,1,3,3,8,s1
2.85878324508667,1,4,2,7,s1
2.8994626998901367,1,5,2,8,s1
2.933627128601074,1,6,1,8,s1
3.022488832473755,1,7,4,7,s1
3.136880397796631,1,5,5,3,s1
3.210843086242676,1,3,0,5,s1
3.2405598163604736,1,1,0,3,s1
3.2704122066497803,1,0,0,3,s1
3.2954323291778564,1,0,1,1,s1
3.325690984725952,1,1,2,0,s1
3.3749401569366455,1,1,3,0,s1
3.4866297245025635,1,1,3,0,s1
3.542429208755493,1,2,3,0,s1
3.5976786613464355,1,2,3,1,s1
3.6247897148132324,1,3,3,3,s1
3.675276756286621,1,3,2,3,s1
3.7003047466278076,1,3,3,4,s1
3.7480573654174805,1,3,3,4,s1
3.7875146865844727,1,3,3,4,s1
3.8703413009643555,1,3,4,4,s1
3.919403076171875,1,3,2,4,s1
3.9748454093933105,1,3,2,4,s1
4.048742055892944,1,3,2,4,s1
4.093155860900879,1,3,2,5,s1
4.135003566741943,1,2,2,4,s1
4.166393041610718,1,2,2,4,s1
4.248476505279541,1,1,2,4,s1
4.304981470108032,1,1,2,4,s1
4.3718421459198,1,1,2,4,s1
4.502197265625,1,2,2,4,s1
4.570522308349609,1,4,2,5,s1
4.608761787414551,1,4,2,4,s1
4.6425464153289795,1,4,2,4,s1
4.712348461151123,1,4,2,4,s1
4.749645233154297,1,4,2,4,s1
4.7769615650177,1,4,2,4,s1
4.8667826652526855,1,4,2,4,s1
5.01681923866272,1,5,2,4,s1
5.118777513504028,1,4,1,3,s1
5.201901912689209,1,5,1,4,s1
5.233822822570801,1,5,1,4,s1
5.264704465866089,1,7,1,4,s1
5.304474830627441,1,6,1,3,s1
5.386259317398071,1,6,2,3,s1
5.512571334838867,1,6,2,2,s1
5.542990207672119,1,5,2,1,s1
5.5835185050964355,1,3,2,0,s1
5.672628164291382,1,3,1,0,s1
5.734900712966919,1,2,2,1,s1
5.764801025390625,1,2,2,1,s1
5.8346474170684814,1,3,2,0,s1
5.972157716751099,1,3,2,0,s1
6.032439470291138,1,3,2,0,s1
6.061493396759033,1,3,2,0,s1
6.0864341259002686,1,3,2,0,s1
6.134449243545532,1,3,2,0,s1
6.166658401489258,1,4,2,0,s1
6.19781231880188,1,4,2,0,s1
6.228132009506226,1,4,2,0,s1
6.285268068313599,1,4,2,0,s1
6.3503782749176025,1,4,2,0,s1
6.388605833053589,1,4,2,0,s1
6.421470642089844,1,4,2,0,s1
6.486447334289551,1,4,2,0,s1
6.550954341888428,1,5,2,0,s1
6.696142911911011,1,5,2,0,s1
6.767709732055664,1,5,2,0,s1
6.81203556060791,1,5,2,0,s1
6.840155363082886,1,5,2,0,s1
6.868424892425537,1,5,2,0,s1
6.9251158237457275,1,5,2,0,s1
6.971404314041138,1,5,2,0,s1
7.000012159347534,1,5,2,0,s1
7.03307318687439,1,5,2,0,s1
7.073137998580933,1,5,2,0,s1
7.109638929367065,1,5,2,0,s1
7.140293836593628,1,5,2,0,s1
7.182186841964722,1,5,2,0,s1
7.295126438140869,1,4,2,0,s1
7.356606960296631,1,3,2,0,s1
7.385249614715576,1,3,3,0,s1
7.411033868789673,1,0,8,6,s1
7.440947532653809,1,1,11,11,s1
7.469060659408569,1,3,13,14,s1
7.542360782623291,1,4,16,18,s1
7.631218433380127,1,6,18,23,s1
7.662680625915527,1,12,26,39,s2
7.686897039413452,1,15,27,46,s2
7.71832799911499,1,17,29,51,s2
7.758930444717407,1,19,30,55,s2
7.809598922729492,1,22,29,61,s2
7.8366217613220215,1,25,30,79,s3
7.881785154342651,1,27,30,80,s3
7.917910099029541,1,28,30,84,s3
7.972677707672119,1,29,30,86,s3
8.091179132461548,2,30,30,96,
8.149397850036621,2,31,29,97,
8.175543069839478,2,30,28,98,
8.213434934616089,2,30,28,96,
8.296184301376343,2,31,28,94,s3
8.36186408996582,2,32,28,83,s3
8.387018918991089,2,30,28,76,s3
8.422602653503418,2,30,28,72,s3
8.491437435150146,2,29,27,69,
8.516862392425537,2,27,27,56,s2
8.55230450630188,2,25,25,49,s2
8.596472024917603,2,23,24,47,s2
8.64413833618164,2,21,22,42,s2
8.681953191757202,1,13,11,29,s1
8.760719060897827,1,10,8,24,s1
8.914910554885864,1,7,7,19,s1
8.977810144424438,1,3,4,11,s1
9.00760793685913,1,2,4,10,s1
9.037835121154785,1,2,4,9,s1
9.068486213684082,1,2,4,9,s1
9.108484745025635,1,4,4,11,s1
9.184726238250732,1,4,7,15,s1
9.289109468460083,1,5,13,22,s1
9.339625597000122,1,14,21,44,s2
9.374976396560669,1,16,24,53,s2
9.401565551757812,1,21,26,71,s3
9.426589250564575,1,24,26,79,s3
9.459685802459717,1,26,26,81,s3
9.513068199157715,1,28,26,84,s3
9.558602809906006,1,27,27,87,s3
9.588980197906494,1,29,29,94,s3
9.620523691177368,1,30,29,95,s3
9.668659687042236,1,30,30,95,s3
9.713084936141968,1,30,30,94,s3
9.777148723602295,1,29,30,92,s3
9.810247898101807,1,30,30,87,s3
9.899850130081177,1,31,30,79,s3
9.967714786529541,1,25,29,65,s2
10.000758171081543,1,24,28,60,s2
10.043622732162476,1,25,28,56,s2
10.100501775741577,1,24,27,51,s2
10.19196367263794,1,19,16,39,s2
10.283471584320068,2,12,6,23,s1
10.310571432113647,2,6,4,16,s1
10.337549924850464,2,4,3,13,s1
10.364407062530518,2,1,3,10,s1
10.394041299819946,2,0,3,11,s1
10.426774978637695,2,0,5,11,s1
10.468196630477905,2,0,4,11,s1
