time,repetition,hip,ankle,knee,phase
0.1311030387878418,1,6,7,6,s1
0.1992039680480957,1,6,1,4,s1
0.2311229705810547,1,7,2,8,s1
0.2832505702972412,1,4,3,7,s1
0.31966710090637207,1,1,4,6,s1
0.3467414379119873,1,1,4,4,s1
0.45609521865844727,1,0,5,4,s1
0.5931313037872314,1,0,4,3,s1
0.6389782428741455,1,0,3,0,s1
0.6664788722991943,1,0,5,2,s1
0.6940219402313232,1,0,4,1,s1
0.7947437763214111,1,1,4,2,s1
0.8776106834411621,1,3,4,2,s1
0.9704368114471436,1,3,4,2,s1
1.049454927444458,1,3,4,3,s1
1.0869247913360596,1,3,4,3,s1
1.148364782333374,1,4,3,4,s1
1.193100929260254,1,4,3,4,s1
1.2371094226837158,1,4,3,4,s1
1.285245656967163,1,4,1,3,s1
1.3148584365844727,1,4,1,3,s1
1.367086410522461,1,4,1,3,s1
1.3969759941101074,1,4,1,3,s1
1.522097110748291,1,4,1,3,s1
1.5847854614257812,1,4,1,3,s1
1.657334566116333,1,5,1,4,s1
1.6949865818023682,1,4,1,3,s1
1.7244768142700195,1,5,1,4,s1
1.7500982284545898,1,6,1,5,s1
1.7777485847473145,1,6,1,5,s1
1.8342540264129639,1,5,1,5,s1
1.8651330471038818,1,5,0,5,s1
1.8988640308380127,1,5,0,5,s1
2.001222610473633,1,5,0,5,s1
2.053358793258667,1,5,1,4,s1
2.088984251022339,1,5,1,4,s1
2.1230051517486572,1,5,1,4,s1
2.152528762817383,1,5,1,4,s1
2.1898953914642334,1,5,0,4,s1
2.262543201446533,1,5,1,5,s1
2.375767707824707,1,3,1,5,s1
2.4027013778686523,1,3,2,4,s1
2.4297115802764893,1,3,2,5,s1
2.571474075317383,1,3,2,5,s1
2.605107545852661,1,3,2,4,s1
2.649714946746826,1,2,2,4,s1
2.7074453830718994,1,2,2,4,s1
2.736600160598755,1,2,2,4,s1
2.8112192153930664,1,2,1,3,s1
2.8360111713409424,1,2,0,3,s1
2.8761115074157715,1,2,0,4,s1
2.928241729736328,1,2,1,3,s1
2.997692584991455,1,2,1,3,s1
3.0360374450683594,1,2,1,3,s1
3.065371036529541,1,2,0,4,s1
3.1118664741516113,1,2,0,4,s1
3.224416971206665,1,2,0,4,s1
3.3283541202545166,1,2,0,4,s1
3.3565890789031982,1,2,1,5,s1
3.3955626487731934,1,1,1,4,s1
3.4245123863220215,1,2,1,4,s1
3.5009751319885254,1,2,1,4,s1
3.6052958965301514,1,3,1,4,s1
3.652549982070923,1,2,1,3,s1
3.680018186569214,1,3,2,4,s1
3.7482199668884277,1,3,2,4,s1
3.776644229888916,1,3,2,3,s1
3.847015380859375,1,3,2,3,s1
3.880765438079834,1,4,2,4,s1
3.937879800796509,1,4,2,4,s1
4.033890962600708,1,4,2,4,s1
4.152730703353882,1,4,2,4,s1
4.2038750648498535,1,7,2,5,s1
4.236529588699341,1,8,2,5,s1
4.273957967758179,1,8,0,5,s1
4.314664363861084,1,9,1,2,s1
4.430163383483887,1,8,2,2,s1
4.534524917602539,1,8,2,2,s1
4.577220439910889,1,8,2,3,s1
4.6219847202301025,1,7,2,3,s1
4.64997124671936,1,7,2,3,s1
4.686545372009277,1,7,2,3,s1
4.722593069076538,1,7,2,3,s1
4.811917781829834,1,7,2,3,s1
4.863766431808472,1,7,2,3,s1
4.888202667236328,1,7,2,3,s1
4.913306951522827,1,7,2,3,s1
4.94893479347229,1,7,2,3,s1
5.025365591049194,1,7,2,4,s1
5.060676574707031,1,7,2,5,s1
5.085988521575928,1,6,2,5,s1
5.1175079345703125,1,6,2,5,s1
5.177946090698242,1,6,2,5,s1
5.2680745124816895,1,6,2,5,s1
5.371612071990967,1,6,2,4,s1
5.478781700134277,1,5,2,4,s1
5.541143178939819,1,4,2,4,s1
5.56852126121521,1,4,2,4,s1
5.629901170730591,1,4,3,5,s1
5.683302640914917,1,5,2,5,s1
5.73268461227417,1,5,2,5,s1
5.775776386260986,1,6,3,6,s1
5.808635950088501,1,6,3,6,s1
5.843459606170654,1,6,3,6,s1
5.895113468170166,1,6,3,6,s1
5.924086093902588,1,6,3,6,s1
5.999937295913696,1,6,3,6,s1
6.078367233276367,1,6,3,6,s1
6.108341455459595,1,6,3,6,s1
6.166468381881714,1,6,3,6,s1
6.232957363128662,1,6,3,6,s1
6.268348217010498,1,6,3,6,s1
6.3396315574646,1,6,3,6,s1
6.39176082611084,1,6,3,6,s1
6.474501132965088,1,6,3,6,s1
6.5318708419799805,1,6,3,6,s1
6.563576936721802,1,6,3,6,s1
6.618246078491211,1,6,2,5,s1
6.671266078948975,1,6,0,3,s1
6.721372604370117,1,7,0,4,s1
6.790211200714111,1,7,2,2,s1
6.823037385940552,1,6,10,7,s1
6.850408315658569,1,6,14,12,s1
6.923070669174194,1,6,16,17,s1
6.964776277542114,1,9,18,22,s1
6.990056991577148,1,9,16,19,s1
7.019152402877808,1,9,13,14,s1
7.052498817443848,1,8,15,14,s1
7.109639644622803,1,7,11,7,s1
7.266059398651123,1,7,3,1,s1
7.316270589828491,1,7,5,0,s1
7.346787452697754,1,7,7,1,s1
7.3822712898254395,1,7,8,4,s1
7.409062147140503,1,7,15,17,s1
7.448122978210449,1,10,18,25,s1
7.494090795516968,1,10,18,26,s1
7.558471918106079,1,10,18,23,s1
7.624712944030762,1,9,11,4,s1
7.6611857414245605,1,8,8,0,s1
7.732010841369629,1,6,6,0,s1
7.8373517990112305,1,3,1,4,s1
7.889172315597534,1,3,2,4,s1
7.917410373687744,1,2,4,2,s1
7.97689151763916,1,2,6,0,s1
8.078279733657837,1,4,5,2,s1
8.144542217254639,1,6,11,1,s1
8.170641899108887,1,6,13,2,s1
8.198107957839966,1,7,13,1,s1
8.249866485595703,1,7,13,0,s1
8.280144691467285,1,7,13,0,s1
8.368562698364258,1,6,7,0,s1
8.400991916656494,1,5,4,1,s1
8.476013898849487,1,4,2,0,s1
8.527472734451294,1,4,2,0,s1
8.583047866821289,1,4,3,2,s1
8.614027976989746,1,4,2,0,s1
8.649876356124878,1,4,1,0,s1
8.707134246826172,1,6,0,1,s1
8.832131385803223,1,6,0,1,s1
8.905268669128418,1,3,0,0,s1
8.942200183868408,1,1,1,0,s1
8.970529317855835,1,1,1,0,s1
9.029897928237915,1,1,3,1,s1
9.104274272918701,1,3,8,7,s1
9.198622226715088,1,5,8,7,s1
9.278224468231201,1,6,7,6,s1
9.312996625900269,1,6,3,3,s1
9.429049730300903,1,6,1,1,s1
9.515878915786743,1,6,0,0,s1
9.545921802520752,1,6,1,1,s1
9.573051691055298,1,7,0,0,s1
9.601555585861206,1,7,2,1,s1
9.631403923034668,1,7,3,1,s1
9.659791231155396,1,7,2,1,s1
9.692047834396362,1,8,2,1,s1
9.762463331222534,1,8,2,1,s1
9.793580293655396,1,9,0,0,s1
9.82514476776123,1,10,0,1,s1
9.879427194595337,1,10,1,1,s1
9.915666818618774,1,9,1,1,s1
9.999579429626465,1,9,1,1,s1
10.030372858047485,1,9,2,0,s1
10.094406604766846,1,10,1,2,s1
10.18973970413208,1,10,1,3,s1
10.289066791534424,1,10,1,2,s1
10.321224927902222,1,11,0,3,s1
10.407729625701904,1,11,0,3,s1
10.461881160736084,1,11,0,3,s1
10.504683256149292,1,11,1,3,s1
10.545525074005127,1,11,1,3,s1
10.59345531463623,1,11,1,3,s1
10.642724514007568,1,11,1,3,s1
10.669317722320557,1,11,1,3,s1
10.707289934158325,1,11,1,3,s1
10.75242304801941,1,12,1,3,s1
10.828303575515747,1,12,0,2,s1
10.852840662002563,1,12,0,2,s1
10.878742694854736,1,12,0,2,s1
10.908067464828491,1,12,0,2,s1
10.93395733833313,1,11,1,2,s1
10.960690259933472,1,11,1,2,s1
11.039220094680786,1,11,1,2,s1
11.160036563873291,1,11,1,2,s1
11.261775255203247,1,11,1,2,s1
11.3021879196167,1,11,1,2,s1
11.332292795181274,1,11,1,2,s1
11.368677139282227,1,9,1,1,s1
11.404798984527588,1,9,1,1,s1
11.434288501739502,1,9,1,2,s1
11.497660398483276,1,8,1,3,s1
11.538744926452637,1,9,0,3,s1
11.607394695281982,1,9,0,3,s1
11.723603963851929,1,9,0,3,s1
11.802815437316895,1,8,0,2,s1
11.832895278930664,1,8,1,2,s1
11.859469175338745,1,8,1,1,s1
11.887290000915527,1,8,2,2,s1
11.9236581325531,1,8,2,2,s1
11.958373308181763,1,9,1,1,s1
11.992745399475098,1,9,1,1,s1
12.020833969116211,1,8,1,0,s1
12.111808776855469,1,9,1,0,s1
12.264174699783325,1,10,2,0,s1
12.296128749847412,1,9,5,3,s1
12.356527090072632,1,9,6,5,s1
12.415930032730103,1,10,4,3,s1
12.447619676589966,1,9,5,3,s1
12.479599952697754,1,9,4,2,s1
12.51465892791748,1,9,4,2,s1
12.545965671539307,1,9,4,2,s1
12.584143161773682,1,9,4,3,s1
12.613043546676636,1,9,4,3,s1
12.669320583343506,1,9,5,2,s1
12.704554796218872,1,10,4,0,s1
12.731240272521973,1,10,2,0,s1
12.819465637207031,1,11,1,1,s1
12.902973651885986,1,11,1,2,s1
12.969487190246582,1,11,2,3,s1
12.999066829681396,1,11,3,4,s1
13.037409782409668,1,10,3,3,s1
13.067878246307373,1,10,3,3,s1
13.106180906295776,1,10,3,3,s1
13.199902772903442,1,10,3,3,s1
13.259581804275513,1,10,3,3,s1
13.299883365631104,1,10,3,3,s1
13.343925714492798,1,10,3,3,s1
13.406993389129639,1,10,3,3,s1
13.447056293487549,1,10,3,3,s1
13.47361946105957,1,10,3,3,s1
13.504631280899048,1,10,3,3,s1
13.549563646316528,1,9,3,3,s1
13.602563858032227,1,9,3,3,s1
13.652973890304565,1,9,3,2,s1
13.739352703094482,1,9,3,2,s1
13.812273740768433,1,9,3,2,s1
13.853243112564087,1,9,3,2,s1
13.88131046295166,1,8,2,2,s1
13.969275712966919,1,8,2,3,s1
14.028497457504272,1,7,2,3,s1
14.065422296524048,1,7,1,2,s1
14.140015125274658,1,7,1,2,s1
14.248392343521118,1,7,1,2,s1
14.289310693740845,1,7,1,2,s1
14.316988229751587,1,7,1,2,s1
14.34670090675354,1,7,1,2,s1
14.40353536605835,1,7,1,2,s1
14.50200343132019,1,7,1,2,s1
14.574899673461914,1,4,0,0,s1
14.614495754241943,1,3,1,2,s1
14.64645528793335,1,2,6,6,s1
14.675822973251343,1,1,11,12,s1
14.7187979221344,1,0,14,14,s1
14.762625694274902,1,3,28,35,s2
14.798271894454956,1,5,32,40,s2
14.831645011901855,1,7,34,43,s2
14.858171224594116,1,8,36,48,s2
14.890198230743408,1,10,39,53,s2
14.953656196594238,1,11,40,57,s2
15.010809898376465,1,16,44,72,s3
15.045160055160522,1,16,44,75,s3
15.073540210723877,1,18,44,78,s3
15.238835334777832,1,20,44,81,s3
15.335070133209229,1,21,42,78,s3
15.361018657684326,1,22,38,74,s3
15.387139797210693,1,22,36,68,
15.418634414672852,1,21,33,61,s2
15.45216679573059,1,21,29,53,s2
15.552694320678711,1,20,25,49,s2
15.674382209777832,2,18,13,32,s1
15.726173639297485,2,13,1,13,s1
15.859629392623901,2,9,4,5,s1
15.910760164260864,2,5,4,2,s1
15.949147462844849,2,4,4,1,s1
15.982716798782349,2,3,4,0,s1
16.013084173202515,2,2,3,0,s1
16.04163908958435,2,2,0,5,s1
16.080206155776978,2,3,1,8,s1
16.109010457992554,2,3,7,13,s1
16.14389967918396,2,4,13,19,s1
16.21311855316162,2,6,18,27,s1
16.240619897842407,2,7,19,32,s1
16.336233377456665,2,14,28,52,s2
16.373660802841187,2,15,32,59,s2
16.408167123794556,2,19,36,77,s3
16.485963106155396,2,19,37,81,s3
16.52273726463318,2,21,37,82,s3
16.58920955657959,2,22,38,83,s3
16.617977619171143,2,21,36,80,s3
16.66409182548523,2,22,36,79,s3
16.735751390457153,2,24,37,79,s3
16.773712635040283,2,25,35,69,
16.799320936203003,2,23,34,63,s2
16.82583999633789,2,23,29,57,s2
16.86559534072876,2,22,27,51,s2
17.014893770217896,2,22,23,47,s2
17.086158275604248,3,17,6,26,s1
17.114190340042114,3,12,5,9,s1
17.13969850540161,3,9,7,5,s1
17.164809226989746,3,7,8,2,s1
17.192358016967773,3,5,8,1,s1
17.22833776473999,3,3,6,1,s1
17.256967782974243,3,3,5,1,s1
17.286762952804565,3,2,3,3,s1
17.317296028137207,3,1,1,3,s1
17.371752738952637,3,1,0,5,s1
17.405925035476685,3,1,0,8,s1
17.470527410507202,3,2,4,12,s1
17.556207180023193,3,1,10,16,s1
17.58353900909424,3,6,24,36,s2
17.612568140029907,3,8,29,44,s2
17.679020643234253,3,10,32,51,s2
17.717721939086914,3,15,39,71,s3
17.74327516555786,3,17,39,76,s3
17.798455238342285,3,17,39,78,s3
17.839056968688965,3,19,39,79,s3
17.916940212249756,3,21,41,82,s3
17.95475435256958,3,22,41,82,s3
18.012322664260864,3,22,36,79,s3
18.105483055114746,3,23,36,77,s3
18.16504669189453,3,21,33,65,s2
18.219934940338135,3,22,25,48,s2
18.288548707962036,3,22,20,40,s2
18.323791980743408,4,16,2,20,s1
18.352447271347046,4,13,0,13,s1
18.37926483154297,4,11,3,9,s1
18.411088943481445,4,8,4,6,s1
18.445647716522217,4,7,6,3,s1
18.481666803359985,4,6,8,0,s1
18.514058351516724,4,5,7,0,s1
18.549785375595093,4,4,5,0,s1
18.664300680160522,4,3,3,1,s1
18.722606420516968,4,3,2,1,s1
18.75516176223755,4,3,1,2,s1
18.78462553024292,4,3,3,9,s1
18.82494020462036,4,3,9,15,s1
18.89615035057068,4,6,23,33,
18.937851428985596,4,8,29,40,s2
19.03460454940796,4,12,39,62,s2
19.160675048828125,4,15,42,67,
19.254287481307983,5,17,46,78,s3
19.28313159942627,5,19,45,81,s3
19.311333179473877,5,20,46,82,s3
19.404422998428345,5,22,44,82,s3
19.495794534683228,5,22,43,77,s3
19.593063831329346,5,24,39,68,
19.619279623031616,5,22,36,62,s2
19.652446508407593,5,21,23,43,s2
19.685088634490967,5,21,16,37,s2
19.717957496643066,5,20,12,34,
19.760663747787476,4,18,8,27,s1
19.799819707870483,4,15,3,21,s1
19.864638566970825,4,11,3,8,s1
19.906160593032837,4,7,3,4,s1
19.945003986358643,4,5,2,2,s1
20.037838459014893,4,4,4,0,s1
20.14515447616577,4,3,4,0,s1
20.17656946182251,4,3,1,4,s1
20.201858043670654,4,3,0,6,s1
20.230204582214355,4,3,2,8,s1
20.267655611038208,4,3,8,14,s1
20.360767364501953,4,4,18,24,s1
20.457016706466675,4,6,29,40,s2
20.571484565734863,4,10,39,63,s2
20.60168719291687,4,16,41,85,s3
20.66973638534546,4,18,42,83,s3
20.74893879890442,4,20,41,87,s3
20.803454875946045,4,21,39,88,s3
20.937031984329224,4,22,39,86,s3
20.9922878742218,4,23,36,67,
21.026941537857056,4,21,33,58,s2
21.053685665130615,4,21,31,54,s2
21.080953359603882,4,21,28,48,s2
21.113117933273315,4,20,24,44,s2
21.16474485397339,4,20,21,40,s2
21.224788427352905,4,18,17,34,
21.275393962860107,5,12,0,11,s1
21.40048336982727,5,9,2,7,s1
21.51679277420044,5,6,5,2,s1
21.55233144760132,5,3,5,0,s1
21.580390214920044,5,3,4,0,s1
21.623045682907104,5,2,4,0,s1
21.652408123016357,5,3,1,3,s1
21.683043718338013,5,3,0,4,s1
21.738829612731934,5,3,0,6,s1
21.765649795532227,5,3,5,12,s1
21.79543423652649,5,3,11,18,s1
21.84179949760437,5,4,17,23,s1
21.86701464653015,5,5,21,28,s1
21.92504572868347,5,11,34,49,s2
22.03151249885559,5,13,38,57,s2
22.079490184783936,5,17,42,77,s3
22.109158515930176,5,19,43,79,s3
22.13507628440857,5,21,44,79,s3
22.16383934020996,5,22,44,82,s3
22.253955125808716,5,24,45,84,s3
22.37930703163147,5,24,42,79,s3
22.43163251876831,5,25,42,76,s3
22.459457874298096,5,22,32,56,s2
22.4869327545166,5,25,29,53,s2
22.5200457572937,5,23,24,42,s2
22.5617516040802,5,22,21,40,s2
22.59184765815735,5,21,20,39,s2
22.628271102905273,5,20,16,34,
22.67119550704956,6,14,1,14,s1
22.730218172073364,6,12,2,9,s1
22.827686071395874,6,9,5,5,s1
22.87519383430481,6,7,6,2,s1
22.903759241104126,6,5,6,1,s1
22.958120822906494,6,4,5,1,s1
23.021190404891968,6,3,5,0,s1
23.048190355300903,6,3,4,1,s1
23.099392652511597,6,3,4,2,s1
